RegionName,StateName,City,Metro,CountyName,HomeValue,Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
78629,TX,Gonzales,,Gonzales County,161615.0,78629,12393.0,35.7,53783.0,28925.0,1917.0,15.468409586056644
48661,MI,West Branch,,Ogemaw County,134085.0,48661,10469.0,48.4,44467.0,26171.0,1562.0,14.920240710669596
79735,TX,Fort Stockton,,Pecos County,142966.0,79735,13915.0,35.8,48313.0,19808.0,1868.0,13.424362199065756
48629,MI,Houghton Lake,,Roscommon County,128481.0,48629,7551.0,56.1,43078.0,23526.0,1370.0,18.14329227916832
96097,CA,Yreka,,Siskiyou County,202447.0,96097,9746.0,39.7,44782.0,26909.0,1877.0,19.259183254668578
65605,MO,Aurora,,Lawrence County,108731.0,65605,12590.0,43.5,44107.0,23071.0,1428.0,11.342335186656074
36420,AL,Andalusia,,Covington County,92282.0,36420,10369.0,46.5,44753.0,25872.0,1685.0,16.250361654932973
81230,CO,Gunnison,,Gunnison County,379150.0,81230,10041.0,32.6,51646.0,29119.0,1664.0,16.572054576237427
56431,MN,Aitkin,,Aitkin County,231432.0,56431,8778.0,55.8,50819.0,29012.0,996.0,11.346548188653452
29812,SC,Barnwell,,Barnwell County,118447.0,29812,11482.0,40.8,35742.0,21148.0,2680.0,23.3408813795506
82435,WY,Powell,,Park County,274068.0,82435,12147.0,40.8,63060.0,35745.0,1245.0,10.249444307236352
29574,SC,Mullins,,Marion County,60536.0,29574,10696.0,40.2,31334.0,19386.0,2609.0,24.392296185489908
39730,MS,Aberdeen,,Monroe County,91597.0,39730,11603.0,43.1,40180.0,23930.0,2193.0,18.90028440920452
23117,VA,Mineral,,Louisa County,295002.0,23117,9353.0,49.5,73055.0,37497.0,986.0,10.542072062439859
47371,IN,Portland,,Jay County,102166.0,47371,12200.0,39.9,47686.0,24347.0,1668.0,13.672131147540984
22657,VA,Strasburg,,Shenandoah County,223414.0,22657,10738.0,38.4,60379.0,27748.0,930.0,8.660830694729
30467,GA,Sylvania,,Screven County,101890.0,30467,12184.0,42.5,40688.0,22765.0,2753.0,22.59520682862771
78945,TX,La Grange,,Fayette County,243604.0,78945,10767.0,44.4,62083.0,29007.0,1537.0,14.275099842110151
48723,MI,Caro,,Tuscola County,103094.0,48723,12050.0,45.4,48197.0,27296.0,1858.0,15.419087136929463
